,sentence,sentiment
0,"NECESITAMOS #ACOGIDA RESPONSABLE PARA WOLF. POR ASUNTOS LEGALES AJENOS A NOSOTROS/AS, POR EL MOMENTO SOLAMENTE ACOGIDA A LA ESPERA DE INSTRUCCIONES PARA POSIBLE FUTURA ADOPCIÓN.
#VALENCIA.

WOLF, macho de 8/9 meses aproximadamente.
Tamaño mediano. 
Muy alegre, activo y... https://t.co/xwNhD2PMml",Neutra
1,"Internacional de Porto Alegre habría llegado a un acuerdo para fichar a Martín Távara: Según ESPN, el volante de Sporting Cristal tendría todo listo para fichar por el 'Colorao' esta temporada. Jugaría al lado del 'Depredador'. https://t.co/gz1SpX3BOS",Neutra
2,"Que alegre está!!💕💕😘😘🦋🦋
@dmtzdmr https://t.co/bD4MVgHQEC",Positiva
3,Estoy triste quiero tatuarme,Negativa
4,"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Negativa
5,@fekassss ajajaj q risa,Positiva
6,"la neta si me dolió, pero andar triste no es de bellakos",Positiva
7,"aca  te veo muy alegre con tu aliados, traicionando  la voluntad popular https://t.co/04GEKsRA2g https://t.co/o5VQs1xIjR",Negativa
8,me pone triste acordarme de todo lo que aguante justificando que eran “amistades” :/,Negativa
9,"Un diccionario derriba fronteras y genera puntos de encuentro. El “Diccionario de Ciencia Política”, permite entender una ciencia social en continua formación. Así lo dije en la presentación virtual de la obra del Dr. Juan Federico Arriola. https://t.co/F379vRn8Ya",Neutra
10,"@miguelBangalore @gabrielrufian Qué pena das hijo! Qué vida más triste llevas! Los q te han enseñado el dicho de “ni derechas ni izquierdas” son los de V0x, Nazis, los mismos que estuvieron financiados por un grupo terrorista iraní! Y les pagaban el sueldo en el 2014! Igual los terroristas son tus amigos!",Negativa
11,"#ConferenciaPresidente. Desde el régimen de Porfirio Díaz se creó el método de la simulación en la política mexicana, reflexiona @lopezobrador_ https://t.co/txJ3bpK6fK",Negativa
12,@BTS_twt_JHOSEOK Bien gracias y tú cómo estás sonrisa brillante 😁 espero que estés bien me encanta lo alegre de tu persona,Positiva
13,a veces pienso ostia tio que graciosa soy esque tengo unos puntazos luego llego a mi casa y me pongo a llorar 3 horas seguidas,Negativa
14,Lo que @virgilio_acuna no sabe es que con lo racista que es #LopezAliaga lo va a utilizar y después le va a tirar una patada donde ya sabe. QUÉ ILUSO! o qué cree que le van a dar un MINISTERIO?                             PAPANATAS que se alegre si lo contratan como porta pliegos https://t.co/rc2nVNpZp3,Positiva
15,A veces me pongo triste por los jóvenes que no están pudiendo disfrutar al 100% la vida por la pandemia y después me doy cuenta que yo soy los jóvenes.,Negativa
16,"""Una publicación en Redes Sociales hizo que, al menos 15 mujeres descubrieran que tienen una triste historia en común. Un sujeto ofrece trabajo en la venta de frutas y caldosas a domicilio pero, según las denuncias, las mujeres que no tienen carné de manipulación de alimentos https://t.co/rtHyHVb98V",Neutra
17,LA REINA DE ESPAÑA HA HABLADO https://t.co/yWIto8d9QS,Neutra
18,Yo espero ver una acá jaja así ! Pra reventarme jajajaja de la risa https://t.co/tmRd7zyO1c,Positiva
19,"El siniestro @MonederoJC pide que Bolivia emita una orden internacional de búsqueda y captura contra mi ¡¡¡por haber destapado la pedofilia de Evo Morales!!! 

Pobre ridículo. Es un chavista financiado que se cree capaz de amordazar a la prensa libre a golpe de tuits. De risa.",Negativa
20,"A este punto tanta rigidez en la adopción promueve la compra de mascotas, es triste porque en los refugios sobrepoblados los duermen. Es decir, un bucle desastroso lleno de buenas intenciones. https://t.co/Bc5pdjM91Q",Positiva
21,@LssdSheriffs Pues me enfado y no respiro,Negativa
22,"Legalización de la mariguana pone a #México al tope del negocio.

https://t.co/qHmW2qgtEG",Neutra
23,que triste ser burbuja 1 no?,Negativa
24,"Hoy España, somos tan ayer 🤪 https://t.co/dpkggiwN2w",Neutra
25,"Nada más hermoso que despertar feliz, escuchar música alegre y desayunar bolón con caféee... 🍃❤",Positiva
26,"@daisybtncrt ...así es mi Daisy, no basta desear tener un excelente día, hay que salir a buscarlo y trabajar para merecerlo... la felicidad no viene sola... hay que ganarla!!! 
🤗🌈🌇☕🌼🌿💙🎉🎊💫✨☕",Positiva
27,"La Banda de Forajidos Murcianos (PP) ofrece a los nazis (VOX) la Consejería de Educación. ¡¡Ilegalizacón del nazismo!!  https://t.co/CVvLLLGqDU 
Hoy España #eutanasia  Abogados Cristianos Rufián #FelizJueves El Congreso #LaDerogaremos Educación y Cultura Ramón Sampedro https://t.co/ifHILgeS4Z",Neutra
28,"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Negativa
29,"@2323_leon @telecincoes Me da risa lo que dices, menuda jeta tiene toda esta gentecilla",Negativa
30,"Oposición comienza a llamar a paro nacional por proyecto que extiende periodo presidencial
https://t.co/tYVyLWxVg7 #MañanasBLU https://t.co/YIKyiM2jK4",Neutra
