sentence,vote
"NECESITAMOS #ACOGIDA RESPONSABLE PARA WOLF. POR ASUNTOS LEGALES AJENOS A NOSOTROS/AS, POR EL MOMENTO SOLAMENTE ACOGIDA A LA ESPERA DE INSTRUCCIONES PARA POSIBLE FUTURA ADOPCIÓN.
#VALENCIA.

WOLF, macho de 8/9 meses aproximadamente.
Tamaño mediano. 
Muy alegre, activo y... https://t.co/xwNhD2PMml",Neutra
"Internacional de Porto Alegre habría llegado a un acuerdo para fichar a Martín Távara: Según ESPN, el volante de Sporting Cristal tendría todo listo para fichar por el 'Colorao' esta temporada. Jugaría al lado del 'Depredador'. https://t.co/gz1SpX3BOS",Neutra
"Que alegre está!!💕💕😘😘🦋🦋
@dmtzdmr https://t.co/bD4MVgHQEC",Positiva
Estoy triste quiero tatuarme,Negativa
"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Negativa
@fekassss ajajaj q risa,Positiva
"la neta si me dolió, pero andar triste no es de bellakos",Positiva
"aca  te veo muy alegre con tu aliados, traicionando  la voluntad popular https://t.co/04GEKsRA2g https://t.co/o5VQs1xIjR",Negativa
me pone triste acordarme de todo lo que aguante justificando que eran “amistades” :/,Negativa
"Un diccionario derriba fronteras y genera puntos de encuentro. El “Diccionario de Ciencia Política”, permite entender una ciencia social en continua formación. Así lo dije en la presentación virtual de la obra del Dr. Juan Federico Arriola. https://t.co/F379vRn8Ya",Neutra
"@miguelBangalore @gabrielrufian Qué pena das hijo! Qué vida más triste llevas! Los q te han enseñado el dicho de “ni derechas ni izquierdas” son los de V0x, Nazis, los mismos que estuvieron financiados por un grupo terrorista iraní! Y les pagaban el sueldo en el 2014! Igual los terroristas son tus amigos!",Negativa
"#ConferenciaPresidente. Desde el régimen de Porfirio Díaz se creó el método de la simulación en la política mexicana, reflexiona @lopezobrador_ https://t.co/txJ3bpK6fK",Negativa
@BTS_twt_JHOSEOK Bien gracias y tú cómo estás sonrisa brillante 😁 espero que estés bien me encanta lo alegre de tu persona,Positiva
a veces pienso ostia tio que graciosa soy esque tengo unos puntazos luego llego a mi casa y me pongo a llorar 3 horas seguidas,Negativa
Lo que @virgilio_acuna no sabe es que con lo racista que es #LopezAliaga lo va a utilizar y después le va a tirar una patada donde ya sabe. QUÉ ILUSO! o qué cree que le van a dar un MINISTERIO?                             PAPANATAS que se alegre si lo contratan como porta pliegos https://t.co/rc2nVNpZp3,Positiva
A veces me pongo triste por los jóvenes que no están pudiendo disfrutar al 100% la vida por la pandemia y después me doy cuenta que yo soy los jóvenes.,Negativa
"""Una publicación en Redes Sociales hizo que, al menos 15 mujeres descubrieran que tienen una triste historia en común. Un sujeto ofrece trabajo en la venta de frutas y caldosas a domicilio pero, según las denuncias, las mujeres que no tienen carné de manipulación de alimentos https://t.co/rtHyHVb98V",Neutra
LA REINA DE ESPAÑA HA HABLADO https://t.co/yWIto8d9QS,Neutra
Yo espero ver una acá jaja así ! Pra reventarme jajajaja de la risa https://t.co/tmRd7zyO1c,Positiva
"El siniestro @MonederoJC pide que Bolivia emita una orden internacional de búsqueda y captura contra mi ¡¡¡por haber destapado la pedofilia de Evo Morales!!! 

Pobre ridículo. Es un chavista financiado que se cree capaz de amordazar a la prensa libre a golpe de tuits. De risa.",Negativa
"A este punto tanta rigidez en la adopción promueve la compra de mascotas, es triste porque en los refugios sobrepoblados los duermen. Es decir, un bucle desastroso lleno de buenas intenciones. https://t.co/Bc5pdjM91Q",Positiva
@LssdSheriffs Pues me enfado y no respiro,Negativa
"Legalización de la mariguana pone a #México al tope del negocio.

https://t.co/qHmW2qgtEG",Neutra
que triste ser burbuja 1 no?,Negativa
