,sentence,sentiment,tokens,sentiment_code
0,"NECESITAMOS #ACOGIDA RESPONSABLE PARA WOLF. POR ASUNTOS LEGALES AJENOS A NOSOTROS/AS, POR EL MOMENTO SOLAMENTE ACOGIDA A LA ESPERA DE INSTRUCCIONES PARA POSIBLE FUTURA ADOPCIÓN.
#VALENCIA.

WOLF, macho de 8/9 meses aproximadamente.
Tamaño mediano. 
Muy alegre, activo y... https://t.co/xwNhD2PMml",Neutra,necesitar acogido responsable wolf asunto legal ajeno acogido esperar instruccion futuro adopcion valencio wolf macho mes tamaño mediano alegre activo,0
1,"Internacional de Porto Alegre habría llegado a un acuerdo para fichar a Martín Távara: Según ESPN, el volante de Sporting Cristal tendría todo listo para fichar por el 'Colorao' esta temporada. Jugaría al lado del 'Depredador'. https://t.co/gz1SpX3BOS",Neutra,internacional porto alegre llegado fichar martin tavar espn volante sporting cristal listo fichar colorao temporada jugar depredador,0
2,"Que alegre está!!💕💕😘😘🦋🦋
@dmtzdmr https://t.co/bD4MVgHQEC",Positiva,alegre dmtzdmr,1
3,Estoy triste quiero tatuarme,Negativa,triste querer tatuar yo,-1
4,"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Negativa,soñar volver abrazar yo despertar parecer triste,-1
5,@fekassss ajajaj q risa,Positiva,fekassss ajajaj risa,1
6,"la neta si me dolió, pero andar triste no es de bellakos",Positiva,neto doler andar triste bellakos,1
7,"aca  te veo muy alegre con tu aliados, traicionando  la voluntad popular https://t.co/04GEKsRA2g https://t.co/o5VQs1xIjR",Negativa,acatar ver alegre aliado traicionandolar voluntad popular,-1
8,me pone triste acordarme de todo lo que aguante justificando que eran “amistades” :/,Negativa,poner triste acordar yo aguante justificar amistad,-1
9,"Un diccionario derriba fronteras y genera puntos de encuentro. El “Diccionario de Ciencia Política”, permite entender una ciencia social en continua formación. Así lo dije en la presentación virtual de la obra del Dr. Juan Federico Arriola. https://t.co/F379vRn8Ya",Neutra,diccionario derribar frontera generar punto encuentro diccionario ciencia politico permitir entender ciencia social continuo formacion decir presentacion virtual obra juan federico arriolar,0
10,"@miguelBangalore @gabrielrufian Qué pena das hijo! Qué vida más triste llevas! Los q te han enseñado el dicho de “ni derechas ni izquierdas” son los de V0x, Nazis, los mismos que estuvieron financiados por un grupo terrorista iraní! Y les pagaban el sueldo en el 2014! Igual los terroristas son tus amigos!",Negativa,miguelbangalore gabrielrufiar pena das hijo vida triste lleva enseñado derecha izquierdo nazi financiado grupo terrorista irani pagar sueldo terrorista amigo,-1
11,"#ConferenciaPresidente. Desde el régimen de Porfirio Díaz se creó el método de la simulación en la política mexicana, reflexiona @lopezobrador_ https://t.co/txJ3bpK6fK",Negativa,conferenciapresidente regimen porfirio diaz crear metodo simulacion politico mexicano reflexionar lopezobrador,-1
